Typ,Budzet,Opis
Sprzątająca,Budget ($),Mycie witryny sklepowej (mała)
Sprzątająca,Standard ($$),Sprzątanie po imprezie okolicznościowej
Sprzątająca,Premium ($$$),Doczyszczanie posadzek przemysłowych
IT i Grafika,Premium ($$$),Zaprojektowanie logo i identyfikacji
IT i Grafika,Standard ($$),Strona wizytówka na WordPress
IT i Grafika,Budget ($),Edycja 20 zdjęć produktowych
IT i Grafika,Premium ($$$),Naprawa błędu w sklepie online
IT i Grafika,Standard ($$),Złożenie prostego filmu promocyjnego
IT i Grafika,Budget ($),Instalacja systemu Windows i sterowników
IT i Grafika,Premium ($$$),Pozycjonowanie strony lokalnej (SEO)
IT i Grafika,Standard ($$),Konfiguracja sieci Wi-Fi w biurze
IT i Grafika,Budget ($),Usunięcie wirusów z laptopa
IT i Grafika,Premium ($$$),Stworzenie aplikacji mobilnej MVP
Transport i Przeprowadzki,Premium ($$$),Przeprowadzka całego mieszkania
Transport i Przeprowadzki,Standard ($$),Transport kanapy z wniesieniem
Transport i Przeprowadzki,Budget ($),Przewóz szafy (sam kierowca)
Transport i Przeprowadzki,Standard ($$),Wywóz starych mebli
Transport i Przeprowadzki,Premium ($$$),Transport pianina lub instrumentów
Transport i Przeprowadzki,Standard ($$),Transport materiałów budowlanych
Transport i Przeprowadzki,Budget ($),Dostarczenie palety towaru
Transport i Przeprowadzki,Premium ($$$),Relokacja biura (10 stanowisk)
Transport i Przeprowadzki,Standard ($$),Przewóz motocykla na lawecie
Transport i Przeprowadzki,Budget ($),Wniesienie lodówki na 4 piętro
Ogrody i Tereny Zielone,Premium ($$$),Montaż systemu nawadniania
Ogrody i Tereny Zielone,Standard ($$),Koszenie i aeracja trawnika
Ogrody i Tereny Zielone,Standard ($$),Przycinanie żywopłotu
Ogrody i Tereny Zielone,Budget ($),Grabienie liści
Ogrody i Tereny Zielone,Premium ($$$),Budowa tarasu drewnianego
Ogrody i Tereny Zielone,Standard ($$),Nasadzenia drzewek owocowych
Ogrody i Tereny Zielone,Budget ($),Pielenie rabatek kwiatowych
Ogrody i Tereny Zielone,Premium ($$$),Wycinka starego drzewa (metoda alpinistyczna)
Ogrody i Tereny Zielone,Standard ($$),Opryski przeciw szkodnikom
Ogrody i Tereny Zielone,Budget ($),Wywiezienie odpadów zielonych
Motoryzacyjna,Standard ($$),Wymiana olejów i filtrów
Motoryzacyjna,Budget ($),Sezonowa wymiana opon
Motoryzacyjna,Premium ($$$),Kompleksowy detailing wnętrza
Motoryzacyjna,Standard ($$),Naprawa układu hamulcowego
Motoryzacyjna,Premium ($$$),Diagnostyka komputerowa i naprawa wtrysków
Motoryzacyjna,Standard ($$),Wymiana rozrządu w silniku Diesla
Motoryzacyjna,Budget ($),Polerowanie zmatowiałych reflektorów
Motoryzacyjna,Standard ($$),Ustawienie zbieżności kół
Motoryzacyjna,Premium ($$$),Przygotowanie auta do sprzedaży (komplet)
Motoryzacyjna,Budget ($),Wymiana akumulatora z dojazdem
