Typ usługi,Rodzaj usługi (Budżet),Odległość,Termin wykonania,Opis zadania,Link do zdjęcia
Elektryczna,Budget ($),22 km,2026-02-22,Montaż gniazdek i włączników,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Budget ($),19 km,2026-03-01,Sezonowa wymiana opon,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),5 km,2026-02-10,Koszenie i aeracja trawnika,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Premium ($$$),19 km,2026-02-05,Montaż instalacji wodnej w nowej kuchni,https://images.unsplash.com/photo-1504148455328-c376907d081c?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),16 km,2026-02-04,Pielęgnacja roślin w biurze,https://images.unsplash.com/photo-1526047932273-341f2a7631f9?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Budget ($),9 km,2026-02-13,Polerowanie zmatowiałych reflektorów,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),13 km,2026-01-13,Izolacja akustyczna sufitu,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Elektryczna,Standard ($$),20 km,2026-02-21,Podłączenie piekarnika elektrycznego,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),7 km,2026-03-02,Opryski przeciw szkodnikom,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),22 km,2026-03-08,Wymiana olejów i filtrów,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Budget ($),1 km,2026-03-04,Grabienie liści,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),10 km,2026-02-04,Dostarczenie palety towaru,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Florystyczna,Budget ($),16 km,2026-02-01,Bukiet tulipanów z dostawą,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),16 km,2026-01-15,Przeprowadzka całego mieszkania,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Hydrauliczna,Premium ($$$),9 km,2026-01-25,Montaż kabiny prysznicowej,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),15 km,2026-03-04,Stworzenie aplikacji mobilnej MVP,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Dentystyczna,Budget ($),27 km,2026-02-07,Leczenie kanałowe jednego kanału,https://images.unsplash.com/photo-1598256989800-fe5f95da9787?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Premium ($$$),12 km,2026-01-24,Instalacja ogrzewania podłogowego,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),23 km,2026-01-18,Wymiana rozrządu w silniku Diesla,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),2 km,2026-01-11,Konsultacja ortodontyczna,https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),5 km,2026-01-12,Mycie okien w całym domu,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Budowlana,Budget ($),15 km,2026-02-20,Wiercenie otworów w betonie pod półki,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),10 km,2026-02-16,Izolacja akustyczna sufitu,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),15 km,2026-02-26,Regularne sprzątanie biura,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
IT i Grafika,Budget ($),3 km,2026-02-07,Usunięcie wirusów z laptopa,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),18 km,2026-03-06,Tynkowanie dekoracyjne jednej ściany,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Florystyczna,Budget ($),23 km,2026-02-07,Bukiet tulipanów z dostawą,https://images.unsplash.com/photo-1526047932273-341f2a7631f9?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Standard ($$),13 km,2026-03-11,Wymiana syfonu w zlewie,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Elektryczna,Standard ($$),5 km,2026-03-02,Podłączenie płyty indukcyjnej,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
IT i Grafika,Budget ($),11 km,2026-02-02,Edycja 20 zdjęć produktowych,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
IT i Grafika,Standard ($$),18 km,2026-03-01,Złożenie prostego filmu promocyjnego,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Dentystyczna,Budget ($),28 km,2026-02-03,Usunięcie kamienia nazębnego (skaling),https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),29 km,2026-01-22,Tynkowanie dekoracyjne jednej ściany,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Standard ($$),7 km,2026-01-25,Wymiana licznika wody,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),24 km,2026-02-23,Opryski przeciw szkodnikom,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Sprzątająca,Budget ($),10 km,2026-02-26,Odkurzanie i mycie podłóg,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Florystyczna,Budget ($),16 km,2026-03-11,Bukiet tulipanów z dostawą,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),23 km,2026-02-17,Przegląd stomatologiczny i czyszczenie,https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?q=80&w=800&auto=format&fit=crop
Elektryczna,Budget ($),12 km,2026-01-18,Montaż gniazdek i włączników,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),24 km,2026-03-05,Pranie dywanów metodą ekstrakcyjną,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),28 km,2026-01-26,Dostarczenie palety towaru,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Florystyczna,Premium ($$$),18 km,2026-01-19,Dekoracja kościoła na ślub,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Premium ($$$),17 km,2026-01-14,Przygotowanie auta do sprzedaży (komplet),https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),5 km,2026-02-14,Układanie paneli podłogowych,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),12 km,2026-03-03,Stworzenie aplikacji mobilnej MVP,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),23 km,2026-03-02,Mycie okien w całym domu,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),29 km,2026-01-13,Flowerbox na urodziny,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),28 km,2026-03-04,Dostarczenie palety towaru,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Sprzątająca,Standard ($$),2 km,2026-01-30,Mycie okien w całym domu,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),10 km,2026-02-15,Pielęgnacja roślin w biurze,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),13 km,2026-02-13,Przewóz szafy (sam kierowca),https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Dentystyczna,Budget ($),20 km,2026-02-19,Leczenie kanałowe jednego kanału,https://images.unsplash.com/photo-1598256989800-fe5f95da9787?q=80&w=800&auto=format&fit=crop
Florystyczna,Standard ($$),10 km,2026-03-08,Flowerbox na urodziny,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Premium ($$$),13 km,2026-02-09,Budowa tarasu drewnianego,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),12 km,2026-02-18,Dostarczenie palety towaru,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Sprzątająca,Budget ($),26 km,2026-02-05,Mycie witryny sklepowej (mała),https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Standard ($$),11 km,2026-01-25,Przewóz motocykla na lawecie,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Budowlana,Premium ($$$),16 km,2026-02-28,Kompleksowe wykończenie łazienki,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Budowlana,Budget ($),25 km,2026-02-08,Wiercenie otworów w betonie pod półki,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Elektryczna,Premium ($$$),10 km,2026-02-18,Wymiana skrzynki bezpiecznikowej,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Premium ($$$),24 km,2026-01-12,Wycinka starego drzewa (metoda alpinistyczna),https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),20 km,2026-02-11,Dekoracja kwiatowa sali bankietowej,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Budget ($),1 km,2026-03-08,Pielenie rabatek kwiatowych,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),3 km,2026-01-12,Oprawa kwiatowa pogrzebu,https://images.unsplash.com/photo-1490750967868-88aa4486c946?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Premium ($$$),27 km,2026-03-11,Budowa tarasu drewnianego,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),8 km,2026-03-05,Ekstrakcja zęba mądrości,https://images.unsplash.com/photo-1598256989800-fe5f95da9787?q=80&w=800&auto=format&fit=crop
IT i Grafika,Standard ($$),23 km,2026-02-14,Strona wizytówka na WordPress,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Premium ($$$),27 km,2026-02-16,Budowa tarasu drewnianego,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Premium ($$$),15 km,2026-02-08,Diagnostyka komputerowa i naprawa wtrysków,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Budowlana,Premium ($$$),13 km,2026-02-19,Kompleksowe wykończenie łazienki,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Standard ($$),19 km,2026-01-22,Nasadzenia drzewek owocowych,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),16 km,2026-02-18,Przegląd stomatologiczny i czyszczenie,https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),3 km,2026-02-18,Dekoracja kościoła na ślub,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),16 km,2026-01-13,Naprawa cieknącego grzejnika,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Premium ($$$),22 km,2026-02-26,Budowa tarasu drewnianego,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?q=80&w=800&auto=format&fit=crop
Ogrody i Tereny Zielone,Premium ($$$),9 km,2026-03-01,Montaż systemu nawadniania,https://images.unsplash.com/photo-1592419044706-39796d40f98c?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),10 km,2026-01-30,Ekstrakcja zęba mądrości,https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),5 km,2026-01-20,Relokacja biura (10 stanowisk),https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Elektryczna,Standard ($$),30 km,2026-01-23,Naprawa oświetlenia LED,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),3 km,2026-03-03,Układanie paneli podłogowych,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Budowlana,Budget ($),28 km,2026-02-16,Wiercenie otworów w betonie pod półki,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Elektryczna,Budget ($),23 km,2026-02-11,Naprawa zerwanego kabla zasilającego,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Sprzątająca,Premium ($$$),26 km,2026-01-29,Gruntowne sprzątanie po remoncie,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Elektryczna,Budget ($),10 km,2026-01-26,Wymiana żarówek w witrynie sklepowej,https://images.unsplash.com/photo-1558210834-473f430c09ac?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),7 km,2026-02-11,Wymiana rozrządu w silniku Diesla,https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),17 km,2026-03-05,Regularne sprzątanie biura,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),11 km,2026-03-11,Oprawa kwiatowa pogrzebu,https://images.unsplash.com/photo-1519340333755-56e9c1d04579?q=80&w=800&auto=format&fit=crop
Sprzątająca,Premium ($$$),25 km,2026-01-20,Czyszczenie elewacji domu,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Premium ($$$),3 km,2026-02-21,Montaż instalacji wodnej w nowej kuchni,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Premium ($$$),14 km,2026-02-19,Montaż instalacji wodnej w nowej kuchni,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),15 km,2026-02-19,Pranie tapicerki meblowej,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Premium ($$$),17 km,2026-02-05,Przygotowanie auta do sprzedaży (komplet),https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Budowlana,Premium ($$$),15 km,2026-01-30,Montaż sufitu podwieszanego,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),17 km,2026-03-01,Transport pianina lub instrumentów,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
IT i Grafika,Premium ($$$),18 km,2026-01-25,Zaprojektowanie logo i identyfikacji,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Premium ($$$),29 km,2026-02-05,Przygotowanie auta do sprzedaży (komplet),https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),19 km,2026-01-26,Wybielanie zębów,https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),4 km,2026-02-23,Pranie tapicerki meblowej,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Standard ($$),21 km,2026-01-28,Wymiana syfonu w zlewie,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),27 km,2026-01-22,Wybielanie zębów,https://images.unsplash.com/photo-1606811841689-23dfddce3e95?q=80&w=800&auto=format&fit=crop
Sprzątająca,Premium ($$$),26 km,2026-03-10,Czyszczenie elewacji domu,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),27 km,2026-02-11,Pozycjonowanie strony lokalnej (SEO),https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),8 km,2026-02-23,Naprawa układu hamulcowego,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Sprzątająca,Standard ($$),27 km,2026-03-05,Pranie dywanów metodą ekstrakcyjną,https://images.unsplash.com/photo-1584622781564-1d987f7333c1?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),25 km,2026-01-25,Wymiana rozrządu w silniku Diesla,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),29 km,2026-03-06,Układanie paneli podłogowych,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Premium ($$$),18 km,2026-02-14,Kompleksowy detailing wnętrza,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Dentystyczna,Premium ($$$),26 km,2026-01-23,Licówki porcelanowe (2 sztuki),https://images.unsplash.com/photo-1598256989800-fe5f95da9787?q=80&w=800&auto=format&fit=crop
Dentystyczna,Budget ($),17 km,2026-02-22,Leczenie kanałowe jednego kanału,https://images.unsplash.com/photo-1598256989800-fe5f95da9787?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),2 km,2026-01-24,Skuwanie starych płytek,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Premium ($$$),21 km,2026-02-18,Montaż instalacji wodnej w nowej kuchni,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Budowlana,Premium ($$$),7 km,2026-01-16,Kompleksowe wykończenie łazienki,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Standard ($$),12 km,2026-01-11,Wymiana licznika wody,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Premium ($$$),5 km,2026-03-05,Przeprowadzka całego mieszkania,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Transport i Przeprowadzki,Standard ($$),1 km,2026-01-23,Transport kanapy z wniesieniem,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Transport i Przeprowadzki,Standard ($$),8 km,2026-01-26,Przewóz motocykla na lawecie,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Sprzątająca,Budget ($),29 km,2026-03-11,Mycie witryny sklepowej (mała),https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
IT i Grafika,Budget ($),22 km,2026-01-11,Usunięcie wirusów z laptopa,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),22 km,2026-03-02,Stworzenie aplikacji mobilnej MVP,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Premium ($$$),4 km,2026-01-19,Kompleksowy detailing wnętrza,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Florystyczna,Premium ($$$),19 km,2026-02-28,Dekoracja kościoła na ślub,https://images.unsplash.com/photo-1526047932273-341f2a7631f9?q=80&w=800&auto=format&fit=crop
Budowlana,Standard ($$),25 km,2026-01-19,Układanie paneli podłogowych,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Standard ($$),7 km,2026-01-20,Transport materiałów budowlanych,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
IT i Grafika,Budget ($),13 km,2026-02-26,Edycja 20 zdjęć produktowych,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Transport i Przeprowadzki,Budget ($),9 km,2026-02-26,Dostarczenie palety towaru,https://placehold.co/600x400?text=Transport+i+Przeprowadzki
Sprzątająca,Standard ($$),8 km,2026-01-25,Regularne sprzątanie biura,https://images.unsplash.com/photo-1528740561666-dc2479dc08ab?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Standard ($$),30 km,2026-01-21,Wymiana olejów i filtrów,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
IT i Grafika,Standard ($$),1 km,2026-01-29,Strona wizytówka na WordPress,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Premium ($$$),23 km,2026-01-31,Diagnostyka komputerowa i naprawa wtrysków,https://images.unsplash.com/photo-1487754180451-c456f719a1fc?q=80&w=800&auto=format&fit=crop
Budowlana,Premium ($$$),25 km,2026-02-01,Montaż sufitu podwieszanego,https://images.unsplash.com/photo-1504307651254-35680f356dfd?q=80&w=800&auto=format&fit=crop
IT i Grafika,Premium ($$$),1 km,2026-01-22,Naprawa błędu w sklepie online,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=800&auto=format&fit=crop
IT i Grafika,Budget ($),12 km,2026-02-03,Usunięcie wirusów z laptopa,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Budget ($),10 km,2026-02-07,Naprawa cieknącego grzejnika,https://images.unsplash.com/photo-1607472586893-edb57bdc0e39?q=80&w=800&auto=format&fit=crop
Hydrauliczna,Premium ($$$),19 km,2026-02-06,Montaż instalacji wodnej w nowej kuchni,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?q=80&w=800&auto=format&fit=crop
Motoryzacyjna,Premium ($$$),29 km,2026-02-18,Przygotowanie auta do sprzedaży (komplet),https://images.unsplash.com/photo-1530046339160-ce3e530c7d2f?q=80&w=800&auto=format&fit=crop
IT i Grafika,Standard ($$),11 km,2026-02-24,Strona wizytówka na WordPress,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?q=80&w=800&auto=format&fit=crop
Elektryczna,Premium ($$$),8 km,2026-01-20,Instalacja inteligentnego domu (Smart Home),https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Elektryczna,Standard ($$),18 km,2026-03-05,Naprawa oświetlenia LED,https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
Dentystyczna,Standard ($$),19 km,2026-02-01,Proteza częściowa osiadająca,https://images.unsplash.com/photo-1588776814546-1ffcf47267a5?q=80&w=800&auto=format&fit=crop
Elektryczna,Premium ($$$),12 km,2026-01-18,Instalacja inteligentnego domu (Smart Home),https://images.unsplash.com/photo-1621905251189-08b45d6a269e?q=80&w=800&auto=format&fit=crop
